subjectID,age,gender,block_i,trial_i,go_cue,block,fixation_duration,blank_interval,response,rt,correct,inter_trial_interval,focus,Fullscreen,time_elapsed,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution
fr0h,null,null,0,1,right,practice,600,0,undefined,-600,false,1400,focus,yes,37247,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,0,2,left,practice,600,0,undefined,-600,false,1100,focus,yes,41814,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,0,3,right,practice,600,0,rightarrow,279,true,1400,focus,yes,46259,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,0,4,left,practice,600,0,leftarrow,-481,true,1100,focus,yes,49343,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,0,5,left,practice,600,0,leftarrow,389,true,1100,focus,yes,53297,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,0,6,right,practice,600,0,rightarrow,322,true,1200,focus,yes,57386,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,0,7,right,practice,600,0,rightarrow,402,true,1100,focus,yes,61347,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,0,8,left,practice,600,0,leftarrow,387,true,1000,focus,yes,65100,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,0,9,right,practice,600,0,rightarrow,385,true,1400,focus,yes,69651,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,0,10,left,practice,600,0,leftarrow,360,true,1100,focus,yes,73575,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,0,11,right,practice,600,0,rightarrow,415,true,1400,focus,yes,78156,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,0,12,left,practice,600,0,leftarrow,400,true,1400,focus,yes,82724,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,0,13,left,practice,600,0,leftarrow,433,true,1300,focus,yes,87119,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,0,14,right,practice,600,0,rightarrow,354,true,1500,focus,yes,91835,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,0,15,left,practice,600,0,leftarrow,388,true,1400,focus,yes,96386,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,0,16,right,practice,600,0,rightarrow,353,true,1400,focus,yes,100907,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,0,17,right,practice,600,0,rightarrow,364,true,1400,focus,yes,105437,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,0,18,left,practice,600,0,leftarrow,395,true,1300,focus,yes,109800,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,0,19,left,practice,600,0,leftarrow,438,true,1500,focus,yes,114598,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,0,20,right,practice,600,0,rightarrow,468,true,1400,focus,yes,119237,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,1,21,right,varied,200,0,rightarrow,379,true,1500,focus,yes,139474,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,1,22,left,varied,400,0,leftarrow,249,true,1300,focus,yes,142731,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,1,23,left,varied,600,0,leftarrow,463,true,1100,focus,yes,146007,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,1,24,right,varied,200,0,rightarrow,343,true,1100,focus,yes,148764,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,1,25,right,varied,200,0,leftarrow,271,false,1300,focus,yes,151845,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,1,26,left,varied,400,0,leftarrow,334,true,1000,focus,yes,154589,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,1,27,left,varied,800,0,leftarrow,479,true,1300,focus,yes,158477,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,1,28,right,varied,400,0,rightarrow,367,true,1200,focus,yes,161655,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,1,29,left,varied,600,0,leftarrow,330,true,1200,focus,yes,164997,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,1,30,right,varied,400,0,rightarrow,409,true,1000,focus,yes,167818,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,1,31,left,varied,1000,0,leftarrow,379,true,1000,focus,yes,171207,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,1,32,right,varied,200,0,rightarrow,456,true,1300,focus,yes,174477,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,1,33,right,varied,1000,0,rightarrow,535,true,1300,focus,yes,178629,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,1,34,left,varied,600,0,leftarrow,345,true,1100,focus,yes,181789,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,1,35,right,varied,400,0,rightarrow,346,true,1200,focus,yes,184941,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,1,36,left,varied,1000,0,leftarrow,350,true,1200,focus,yes,188701,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,1,37,right,varied,200,0,rightarrow,420,true,1300,focus,yes,191934,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,1,38,left,varied,400,0,leftarrow,346,true,1200,focus,yes,195089,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
fr0h,null,null,1,39,right,varied,200,0,rightarrow,349,true,1200,focus,yes,198053,Chrome,88.0,macOS,11.1.0,undefined,undefined,1440 x 900,1440 x 900
